상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 논노 핀턱 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62920&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=Zmh3UQ%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006593.gif?1743640853,39500,35600,10,28,"rgb(227, 218, 191);, rgb(125, 91, 76);, rgb(80, 81, 87);",청바지
[MADE] 에브리 세미와이드 데님 (ver2),https://www.joamom.co.kr/shop/shopdetail.html?branduid=62841&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=aGh3UA%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006553.gif?1743560252,46000,41400,10,195,"rgb(161, 189, 209);, rgb(67, 98, 138);",청바지
[MADE] 치즈 시크릿 세미부츠컷 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62711&xcode=065&mcode=004&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bmx%2FW14%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650040001703.gif?1744350593,39500,35600,10,131,"rgb(235, 232, 228);, rgb(20, 20, 20);",청바지
[MADE] 치즈 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62710&xcode=065&mcode=002&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bG93Ug%3D%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650020006493.gif?1745398636,34500,31100,10,2,"rgb(223, 237, 221);, rgb(245, 244, 240);, rgb(0, 0, 0);",청바지
[MADE] 어반 데님 치마바지,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62981&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bm54W1g%3D,,https://cdn3-aka.makeshop.co.kr/shopimages/yamiyami/0650080004293.gif?1745199384,42000,37000,12,1,"rgb(44, 91, 153);",청바지
버니 부츠컷 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62965&xcode=065&mcode=006&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=a293UQ%3D%3D,"청량감 넘치는 잘 빠진 데님 컬러
편안하게, 멋스럽게 자꾸 손이 가는 봄데님
(2color / S~XL)",,49500,44600,10,0,"rgb(82, 93, 117);, rgb(31, 31, 31);",청바지
듀얼핏 세미와이드 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62862&xcode=065&mcode=006&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=Zmh3UA%3D%3D,"오랫동안 입기 좋은 가성비 끝판왕 청바지
기장 수선없는 2type에 S부터~XXL까지-!
(4color/S~XXL/숏,롱)",,27800,25100,10,9,"rgb(245, 245, 237);, rgb(157, 181, 196);, rgb(40, 74, 112);, rgb(110, 110, 110);",청바지
엘리 버뮤다 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62924&xcode=065&mcode=006&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bmt8W14%3D,"캐주얼룩에도,세미룩에도 다양하게 매칭 굿
반밴딩으로 편안한 착용감
(S / M)",,49800,44900,10,1,"rgb(73, 119, 171);",청바지
6부 논페이드 버뮤다 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62913&xcode=065&mcode=006&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bm58W18%3D,"무릎 살짝 덮어주는 세미오버핏의 버뮤다 팬츠
이염/물빠짐 거의 없는 논페이드 스판 소재
(S~XL)",,39800,35900,10,0,"rgb(21, 38, 71);",청바지
다트 배기 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62910&xcode=065&mcode=006&scode=&type=X&sort=manual&cur_code=065006&search=&GfDT=bWh3VQ%3D%3D,"편하고 캐주얼한 무드의 배기핏
다리 군살까지 자연스런 커버~
(S~L)",,45800,41300,10,1,"rgb(32, 52, 102);",청바지
